feature,avg_abs_coefficient
excellent_Score,0.4232217554189555
active_in_VLE,0.2879644098237613
student_engagementt,0.22231108162295246
disability_binary,0.1732133691240573
highest_education_ord,0.12466897102124243
region_Wales,0.11049595799437029
region_Scotland,0.11043435290151944
courses_per_term,0.10740070715765933
region_South East Region,0.06118539884556564
region_South Region,0.059396831631176907
region_North Region,0.0593587791431581
region_Ireland,0.05663670709007205
region_East Midlands Region,0.05132886390258107
region_North Western Region,0.04836482383593668
region_South West Region,0.04806077242031431
age_band_ord,0.04519826022846938
region_West Midlands Region,0.03843451326335775
region_London Region,0.03003782505143428
imd_band_ord,0.023085254521438336
region_Yorkshire Region,0.010729318070961086
