code_module,code_presentation,id_student,date_registration,date_unregistration,id_assessment,date_first_assessment,date_submitted,is_banked,score,total_click_vle,average_click_vle,excellent_Score,active_in_VLE,student_engagementt,gender,region,highest_education,imd_band,age_band,studied_credits,disability,final_result,final_result_code,courses_per_term
AAA,2013J,11391,-159.0,,1752,19,18.0,0.0,78.0,401,432.5,1,0,1,M,East Anglian Region,HE Qualification,90-100%,55<=,240,N,Pass,2,1
AAA,2013J,28400,-53.0,,1752,19,22.0,0.0,70.0,493,432.5,1,1,1,F,Scotland,HE Qualification,20-30%,35-55,60,N,Pass,2,1
AAA,2013J,31604,-52.0,,1752,19,17.0,0.0,72.0,444,432.5,1,1,1,F,South East Region,A Level or Equivalent,50-60%,35-55,60,N,Pass,2,1
AAA,2013J,32885,-176.0,,1752,19,26.0,0.0,69.0,499,432.5,0,1,1,F,West Midlands Region,Lower Than A Level,50-60%,0-35,60,N,Pass,2,1
AAA,2013J,38053,-110.0,,1752,19,19.0,0.0,79.0,687,432.5,1,1,1,M,Wales,A Level or Equivalent,80-90%,35-55,60,N,Pass,2,1
AAA,2013J,45462,-67.0,,1752,19,20.0,0.0,70.0,444,432.5,1,1,1,M,Scotland,HE Qualification,30-40%,0-35,60,N,Pass,2,1
AAA,2013J,45642,-29.0,,1752,19,18.0,0.0,72.0,306,432.5,1,0,1,F,North Western Region,A Level or Equivalent,90-100%,0-35,120,N,Pass,2,1
AAA,2013J,52130,-33.0,,1752,19,19.0,0.0,72.0,258,432.5,1,0,1,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,90,N,Pass,2,1
AAA,2013J,53025,-179.0,,1752,19,9.0,0.0,71.0,496,432.5,1,1,1,M,North Region,Post Graduate Qualification,,55<=,60,N,Pass,2,1
AAA,2013J,57506,-103.0,,1752,19,18.0,0.0,68.0,455,432.5,0,1,1,M,South Region,Lower Than A Level,70-80%,35-55,60,N,Pass,2,1
AAA,2013J,58873,-47.0,,1752,19,19.0,0.0,73.0,400,432.5,1,0,1,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,60,N,Pass,2,1
AAA,2013J,59185,-59.0,,1752,19,18.0,0.0,67.0,455,432.5,0,1,1,M,East Anglian Region,Lower Than A Level,60-70%,35-55,60,N,Pass,2,1
AAA,2013J,62155,-68.0,,1752,19,17.0,0.0,73.0,532,432.5,1,1,1,F,North Western Region,HE Qualification,50-60%,0-35,60,N,Pass,2,1
AAA,2013J,63400,-67.0,,1752,19,19.0,0.0,83.0,582,432.5,1,1,1,M,Scotland,Lower Than A Level,40-50%,35-55,60,N,Pass,2,1
AAA,2013J,65002,-180.0,96.0,1752,19,17.0,0.0,66.0,94,432.5,0,0,0,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,60,N,Withdrawn,0,1
AAA,2013J,70464,-95.0,,1752,19,19.0,0.0,59.0,375,432.5,0,0,0,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,60,N,Pass,2,1
AAA,2013J,71361,-130.0,,1752,19,19.0,0.0,82.0,840,432.5,1,1,1,M,Ireland,HE Qualification,,35-55,60,N,Pass,2,1
AAA,2013J,74372,-50.0,,1752,19,22.0,0.0,60.0,27,432.5,0,0,0,M,East Anglian Region,A Level or Equivalent,10-20,35-55,150,N,Fail,1,1
AAA,2013J,75091,-107.0,,1752,19,18.0,0.0,67.0,807,432.5,0,1,1,M,South West Region,A Level or Equivalent,30-40%,35-55,60,N,Pass,2,1
AAA,2013J,77367,-27.0,,1752,19,18.0,0.0,73.0,272,432.5,1,0,1,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,60,N,Pass,2,1
AAA,2013J,91265,-31.0,,1752,19,21.0,0.0,75.0,253,432.5,1,0,1,M,North Western Region,HE Qualification,0-10%,0-35,60,N,Pass,2,1
